CCS_Category,count_08
NA,9224
244,4226
246,3219
251,2962
133,1724
126,1665
154,1433
102,1130
84,1029
235,958
250,916
236,877
205,857
155,839
211,756
93,754
239,692
229,643
7,591
106,549
253,527
94,484
204,456
124,449
92,434
98,423
651,413
163,410
135,408
200,403
230,395
232,363
197,356
91,353
128,345
95,328
134,309
90,299
160,296
159,280
245,275
252,265
259,193
238,167
140,167
225,149
257,149
240,141
83,141
256,139
127,137
182,120
122,120
670,119
242,113
123,97
85,97
63,92
660,89
233,83
175,82
138,79
61,77
171,76
153,68
181,68
125,67
166,65
243,64
228,64
117,61
107,57
55,56
231,56
147,54
237,52
258,49
89,47
136,46
137,45
657,44
120,42
198,40
149,36
165,32
247,29
241,28
222,27
224,26
151,24
49,23
101,22
178,22
51,22
59,21
167,20
50,20
145,19
58,19
62,18
659,17
108,17
212,16
168,16
2,15
203,14
226,14
143,13
130,13
88,12
141,12
54,12
142,10
172,9
4,9
196,9
146,9
654,9
81,8
3,8
144,7
217,7
158,7
118,7
199,7
661,6
213,6
10,6
121,6
157,6
112,5
119,5
152,5
164,5
87,5
234,5
209,4
79,4
45,4
173,4
139,4
177,4
48,4
109,4
195,4
131,4
64,3
201,3
161,3
653,3
8,3
2618,3
129,3
100,3
255,3
650,3
662,3
254,3
6,2
96,2
132,2
169,2
80,2
202,2
82,2
2614,2
2603,2
46,2
99,2
2601,2
180,2
111,1
38,1
2611,1
1,1
248,1
216,1
249,1
114,1
207,1
42,1
2616,1
19,1
97,1
2620,1
116,1
162,1
658,1
44,1
115,1
186,1
9,1
176,1
223,1
208,1
41,1
35,1
52,1
174,1
148,1
183,1
214,1